SentID,ID,FORM,LEMMA,UPOS,XPOS,HEAD,DEPREL,Case,Number,Gender,Tense,Person,VerbForm,Mood,ExtPos,Gloss,Hyperlemma,Root,OrigLang,,,,,,,,,,,,,
0,1,Ic,ic,PRON,PRP,2,nsubj,Nom,Sing,,,1,,,,I,I,*eǵh₂,,,,,,,,,,,,,,
,2,ƿrat,ƿritan,VERB,VBD,0,root,,Sing,,Past,1,Fin,Ind,,wrote,write,*wrey,,,,,,,,,,,,,,
,3,þis,þis,DET,DT,4,det,Acc,Sing,Neut,,,,,,this,this,*so,,,,,,,,,,,,,,
,4,fers,fers,NOUN,NN,2,obj,Acc,Sing,Neut,,,,,,verse,verse,*wert,lat,,,,,,,,,,,,,
,5,to,to,ADP,IN,6,case,,,,,,,,,as,to,*de,,,,,,,,,,,,,,
,6,bisene,bisen,NOUN,NN,2,obl,Dat,Sing,Fem,,,,,,example,bisen,*bʰeudʰ,,,,,,,,,,,,,,
,7,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Þæt,se,DET,DT,2,det,Nom,Sing,Neut,,,,,,the,the,*so,,,,,,,,,,,,,,
,2,mæden,mæden,NOUN,NN,3,nsubj,Nom,Sing,Neut,,,,,,girl,maiden,*mogʰ,,,,,,,,,,,,,,
,3,ƿrat,ƿritan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,wrote,write,*wrey,,,,,,,,,,,,,,
,4,hyre,heo,PRON,PRP$,5,nmod:poss,Gen,Sing,Fem,,,,,,her,she,*ḱey,,,,,,,,,,,,,,
,5,freonde,freond,NOUN,NN,3,iobj,Dat,Sing,Masc,,,,,,friend,friend,*preyH,,,,,,,,,,,,,,
,6,ærend-ƿrit,ærend-ƿrit,NOUN,NN,3,obj,Acc,Sing,Neut,,,,,,letter,errand-writ,*h₂eyeri-wrey,,,,,,,,,,,,,,
,7,.,.,PUNCT,.,3,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Ic,ic,PRON,PRP,2,nsubj,Nom,Sing,,,1,,,,I,I,*eǵh₂,,,,,,,,,,,,,,
,2,þence,þencan,VERB,VBP,0,root,,Sing,,Pres,1,Fin,Ind,,think,think,*teng,,,,,,,,,,,,,,
,3,þæt,þæt,SCONJ,IN,5,mark,,,,,,,,,that,that,*tod,,,,,,,,,,,,,,
,4,hit,hit,PRON,PRP,5,nsubj,Nom,Sing,Neut,,3,,,,it,it,*ḱey,,,,,,,,,,,,,,
,5,reȝnaþ,reȝnian,VERB,VBZ,2,ccomp,,Sing,,,3,Fin,Ind,,rains,rain,*Hreǵʰ,,,,,,,,,,,,,,
,6,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,He,he,PRON,PRP,2,nsubj,Nom,Sing,Masc,,3,,,,he,he,*ḱís,,,,,,,,,,,,,,
,2,ȝesohte,ȝesecan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,tried,seek,*seh₂ǵ,,,,,,,,,,,,,,
,3,to,to,PART,TO,4,case,,,,,,,,,to,to,*de,,,,,,,,,,,,,,
,4,ȝesƿicanne,ȝesƿican,VERB,VB,2,xcomp,,Sing,,,,Inf,,,stop,geswican,*sweyg,,,,,,,,,,,,,,
,5,smican,smican,VERB,VB,4,xcomp,,Sing,,,,Inf,,,smoking,smoke,*smug,,,,,,,,,,,,,,
,6,and,and,CCONJ,CC,7,cc,,,,,,,,,and,and,*h₂ent,,,,,,,,,,,,,,
,7,drincan,drincan,VERB,VB,5,conj,,Sing,,,,Inf,,,drinking,drink,*dʰrenǵ,,,,,,,,,,,,,,
,8,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Ƿilt,ƿillan,AUX,MD,3,aux,,Sing,,Pres,2,Fin,Ind,,want,will,*welh₁,,,,,,,,,,,,,,
,2,þu,þu,PRON,PRP,3,nsubj,Nom,Sing,,,2,,,,you,thou,*tuh₂,,,,,,,,,,,,,,
,3,gan,gan,VERB,VB,0,root,,Sing,,,,,,,go,go,*ǵʰeh₁,,,,,,,,,,,,,,
,4,?,?,PUNCT,.,3,punct,,,,,,,,,?,?,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Sam,Sam,PROPN,NNP,3,vocative,Voc,Sing,Masc,,,,,,Sam,Sam,_,,,,,,,,,,,,,,
,2,",",",",PUNCT,",",3,punct,,,,,,,,,",",",",_,,,,,,,,,,,,,,
,3,ontyne,ontynan,VERB,VB,0,root,,Sing,,,2,Fin,Imp,,open,ontynan,*dewh₂,cel,,,,,,,,,,,,,
,4,þæt,se,DET,DT,5,det,Acc,Sing,Neut,,,,,,the,the,*so,,,,,,,,,,,,,,
,5,eagþyrel,eagþyrel,NOUN,NN,3,obj,Acc,Sing,Neut,,,,,,window,eye-through,*h₃ekʷ-terh₂,,,,,,,,,,,,,,
,6,!,!,PUNCT,.,3,punct,,,,,,,,,!,!,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Heo,heo,PRON,PRP,2,nsubj,Nom,Sing,Fem,,3,,,,she,she,*ḱey,,,,,,,,,,,,,,
,2,dyde,don,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,did,do,*dʰeh₁,,,,,,,,,,,,,,
,3,þæt,þæt,SCONJ,IN,8,mark,,,,,,,,,that,that,*tod,,,,,,,,,,,,,,
,4,hyre,seo,PRON,PRP$,5,nmod:poss,Gen,Sing,Fem,,,,,,her,she,*ḱey,,,,,,,,,,,,,,
,5,efen-ȝemacca,efen-ȝemacca,NOUN,NN,8,nsubj,Nom,Sing,Masc,,,,,,husband,even-match,*h₁em-meh₂ǵ,,,,,,,,,,,,,,
,6,þæt,se,DET,DT,7,det,Acc,Sing,Neut,,,,,,the,the,*so,,,,,,,,,,,,,,
,7,cræt,cræt,NOUN,NN,8,obj,Acc,Sing,Neut,,,,,,cart,cart,*gretH,,,,,,,,,,,,,,
,8,ȝeƿeasce,gewascan,VERB,VBD,2,ccomp,,Sing,,Past,3,Fin,Ind,,washed,wash,*wed,,,,,,,,,,,,,,
,9,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,Peteres,Petrus,PROPN,NNP,2,nmod:poss,Gen,Sing,Masc,,,,,,Petrus's,Petrus,_,,,,,,,,,,,,,,
,2,neah-ȝebur,neah-ȝebur,NOUN,NN,7,nsubj,Nom,Sing,Masc,,,,,,neighbor,neighbor,*h₂neḱ-bʰuHt,,,,,,,,,,,,,,
,3,hæfð,habban,AUX,VBZ,7,aux,,Sing,,Pres,3,Fin,Ind,,has,have,*keh₂p,,,,,,,,,,,,,,
,4,þone,se,DET,DT,5,det,Acc,Sing,Masc,,,,,,the,the,*so,,,,,,,,,,,,,,
,5,eodor,eodor,NOUN,NN,7,obj,Acc,Sing,Masc,,,,,,fence,edder,*h₁odʰ,,,,,,,,,,,,,,
,6,readne,read,ADJ,JJ,7,xcomp,Acc,Sing,Masc,,,,,,red,red,*h₁rewdʰ,,,,,,,,,,,,,,
,7,onȝemet,onmetan,VERB,VBN,0,root,,,,Past,,Part,,,painted,onmetan,*med,,,,,,,,,,,,,,
,8,.,.,PUNCT,.,7,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Min,min,PRON,PRP$,2,nmod:poss,Gen,Sing,,,1,,,,my,mine,*mīn,,,,,,,,,,,,,,
,2,fæder,fæder,NOUN,NN,4,nsubj,Nom,Sing,Masc,,,,,,father,father,*ph₂tḗr,,,,,,,,,,,,,,
,3,is,ƿesan,AUX,VBZ,4,cop,,Sing,,Pres,3,Fin,Ind,,is,be,*h₁ésti,,,,,,,,,,,,,,
,4,micelre,miċel,ADJ,JJR,0,root,Gen/Dat/Inst?,Sing,Fem?,,,,,,great,much,*méǵh₂s,,,,,,,,,,,,,,
,5,þonne,þonne,ADP,IN,6,case,,,,,,,,,than,than,*só,,,,,,,,,,,,,,
,6,þin,þīn,PRON,PRP,4,obl,Gen,Sing,,,2,,,,yours,thine,*þīn,,,,,,,,,,,,,,
,7,.,.,PUNCT,.,4,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Maria,Maria,PROPN,NNP,2,nsubj,Nom,Sing,Fem,,,,,,Maria,Maria,_,,,,,,,,,,,,,,
,2,ȝeƿann,ȝeƿinnan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,won,ȝeƿinnan,*gʷʰen,,,,,,,,,,,,,,
,3,ær,ær,NOUN,NN,2,obj,Acc,Sing,Neut,,,,,,bronze,ore,*h₂ey,,,,,,,,,,,,,,
,4,",",",",PUNCT,",",5,punct,,,,,,,,,",",",",_,,,,,,,,,,,,,,
,5,Petrus,Petrus,PROPN,NNP,2,conj,Nom,Sing,Masc,,,,,,Petrus,Petrus,_,,,,,,,,,,,,,,
,6,"seolfor,",seolfor,NOUN,NN,5,orphan,Acc,Sing,Neut,,,,,,silver,silver,*silubr,,,,,,,,,,,,,,
,7,and,and,CCONJ,CC,8,cc,,,,,,,,,and,and,*h₂énti,,,,,,,,,,,,,,
,8,Iohanna,Iohanna,PROPN,NNP,2,conj,Nom,Sing,Fem,,,,,,Iohanna,Iohanna,_,,,,,,,,,,,,,,
,9,gold,gold,NOUN,NN,8,orphan,Acc,Sing,Neut,,,,,,gold,gold,*ǵʰĺ̥tom,,,,,,,,,,,,,,
,10,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,Is,ƿesan,AUX,VBZ,4,cop,,Sing,,Pres,3,Fin,Ind,,is,be,*h₁ésti,,,,,,,,,,,,,,
,2,Iguazu,Iguazu,PROPN,NNP,4,nsubj,Nom,Sing,Masc,,,,,,Iguazu,Iguazu,_,gug,,,,,,,,,,,,,
,3,micel,micel,ADJ,JJ,4,amod,Nom,Sing,Masc,,,,,,big,much,*méǵh₂s,,,,,,,,,,,,,,
,4,rice,rice,NOUN,NN,0,root,Nom,Sing,Masc,,,,,,country,rich,*rīkī,,,,,,,,,,,,,,
,5,oþþe,oþþe,CCONJ,CC,6,cc,,,,,,,,,or,or,*efþau,,,,,,,,,,,,,,
,6,lytel,lytel,ADJ,JJ,4,conj,Nom,Sing,Masc,,,,,,small,little,*lūtil,,,,,,,,,,,,,,
,7,?,?,PUNCT,.,4,punct,,,,,,,,,?,?,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Ne,ne,CCONJ,CC,2,cc:preconj,,,,,,,,,neither,not,*ne,,,,,,,,,,,,,,
,2,Petrus,Petrus,PROPN,NNP,9,nsubj:pass,Acc,Sing,Masc,,,,,,Petrus,Petrus,_,,,,,,,,,,,,,,
,3,Smiþ,Smiþ,PROPN,NNP,2,flat,Acc,Sing,Masc,,,,,,Smith,Smith,*smey,,,,,,,,,,,,,,
,4,ne,ne,CCONJ,CC,5,cc,,,,,,,,,nor,not,*ne,,,,,,,,,,,,,,
,5,Maria,Maria,PROPN,NNP,2,conj,Acc,Sing,Fem,,,,,,Mary,Mary,_,,,,,,,,,,,,,,
,6,Brun,Brun,PROPN,NNP,5,flat,Acc,Sing,Fem,,,,,,Brown,Brown,_,,,,,,,,,,,,,,
,7,mihton,magan,AUX,MD,9,aux,,Plur,,Past,3,Fin,Ind,,could,may,*magan,,,,,,,,,,,,,,
,8,beon,beon,AUX,VB,9,aux:pass,,,,,,Inf,,,be,be,*h₂wes,,,,,,,,,,,,,,
,9,ȝecorene,ceosan,VERB,VBN,0,root,,,,Past,,Part,,,selected,choose,*ḱóm-ǵews,,,,,,,,,,,,,,
,10,.,.,PUNCT,.,9,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,Hie,hie,PRON,PRP,2,nsubj,Nom,Plur,,,,,,,they,hie,*hiʀ,,,,,,,,,,,,,,
,2,nabbaþ,nabban,VERB,VBZ,0,root,,Plur,,Pres,,Fin,Ind,,not-have,nabban,*ne-keh₂p,,,,,,,,,,,,,,
,3,nane,nan,DET,DT,4,det,Acc,Sing,Fem?,,,,,,no,none,*nain,,,,,,,,,,,,,,
,4,ȝeþoht,ȝeþoht,NOUN,NN,2,obj,Acc,Sing,Masc,,,,,,idea,ȝeþoht,"*ḱóm-þą̄ht,",,,,,,,,,,,,,,
,5,hƿa,hƿa,PRON,WP,7,nsubj,Nom,Sing,,,,,,,who,who,*hwaʀ,,,,,,,,,,,,,,
,6,hit,hit,PRON,PRP,7,obj,Acc,Sing,Neut,,,,,,it,it,*ḱe,,,,,,,,,,,,,,
,7,ƿrat,ƿritan,VERB,VBD,4,acl,,Sing,,Past,3,Fin,Ind,,wrote,write,*wrey,,,,,,,,,,,,,,
,8,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,Hƿæt,hƿæt,PRON,WP,2,obl,Acc,Sing,,,,,,,what,what,*hwat,,,,,,,,,,,,,,
,2,locast,locian,VERB,VBP,0,root,,Sing,,Pres,2,Fin,Ind,,looking,look,*lōkōn,,,,,,,,,,,,,,
,3,þu,þu,PRON,PRP,2,nsubj,Nom,Sing,,,2,,,,you,thou,*tuh₂,,,,,,,,,,,,,,
,4,on,on,ADP,IN,1,case,,,,,,,,,at,on,*ana,,,,,,,,,,,,,,
,5,?,?,PUNCT,.,2,punct,,,,,,,,,?,?,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,Hƿonne,hƿonne,ADV,WRB,7,advmod,,,,,,,,,when,when,*hwannā,,,,,,,,,,,,,,
,2,þenctst,þencan,VERB,VBZ,0,root,,Sing,,Pres,2,Fin,Ind,,think,think,*þankijan,,,,,,,,,,,,,,
,3,þu,þu,PRON,PRP,2,nsubj,Nom,Sing,,,2,,,,you,thou,*tuh₂,,,,,,,,,,,,,,
,4,þæt,þæt,SCONJ,IN,7,mark,,,,,,,,,that,that,*tod,,,,,,,,,,,,,,
,5,þu,þu,PRON,PRP,7,nsubj,Nom,Sing,,,2,,,,you,thou,*tuh₂,,,,,,,,,,,,,,
,6,meaht,magan,AUX,MD,7,aux,,Plur,,Past,3,Fin,Ind,,can,may,*magan,,,,,,,,,,,,,,
,7,cuman,cuman,VERB,VB,2,ccomp,,,,,,Inf,,,come,come,*gʷem,,,,,,,,,,,,,,
,8,?,?,PUNCT,.,2,punct,,,,,,,,,?,?,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,He,he,PRON,PRP,2,nsubj,Nom,Sing,Masc,,,,,,He,he,*ḱís,,,,,,,,,,,,,,
,2,bohte,bycgan,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,bought,buy,*bʰewgʰ,,,,,,,,,,,,,,
,3,cræt,cræt,NOUN,NN,2,obj,Acc,Sing,Neut,,,,,,car,cart,*gretH,,,,,,,,,,,,,,
,4,ac,ac,CCONJ,CC,6,cc,,,,,,,,,but,ac,*gʰe,,,,,,,,,,,,,,
,5,his,he,PRON,PRP$,6,nmod:poss,Gen,Sing,Masc,,3,,,,his,he,*ḱís,,,,,,,,,,,,,,
,6,broþor,broþor,NOUN,NN,2,conj,Nom,Sing,Masc,,,,,,brother,brother,*bʰréh₂tēr,,,,,,,,,,,,,,
,7,hƿeol-bearƿe,hƿeol-bearu,NOUN,NN,6,orphan,Acc,Sing,Masc,,,,,,bicycle,wheel-barrow,*kʷékʷlos-bʰer,,,,,,,,,,,,,,
,8,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,Petrus,Petrus,PROPN,NNP,4,nsubj,Nom,Sing,Masc,,,,,,Petrus,Petrus,_,,,,,,,,,,,,,,
,2,and,and,CCONJ,CC,3,cc,,,,,,,,,and,and,*h₂énti,,,,,,,,,,,,,,
,3,Maria,Maria,PROPN,NNP,1,conj,Nom,Sing,Fem,,,,,,Mary,Maria,_,,,,,,,,,,,,,,
,4,beclypton,beclyppan,VERB,VBD,0,root,,Plur,,Past,3,Fin,Ind,,hugged,beclip,*gelbʰ,,,,,,,,,,,,,,
,5,heom,he,PRON,NNP,4,obj,Dat,Plur,,,3,,,PRON,them,he,*ḱís,,,,,,,,,,,,,,
,6,be-tƿeonen,be-tweonum,ADP,IN,5,fixed,,,,,,,,,between,between,*dwóh₁,,,,,,,,,,,,,,
,7,and,and,CCONJ,CC,3,cc,,,,,,,,,and,and,*h₂énti,,,,,,,,,,,,,,
,8,þa,se,ADV,RRB,9,advmod,,,,,,,,,then,then,*só,,,,,,,,,,,,,,
,9,forletone,forlætan,VERB,VBD,4,conj,,Plur,,Past,3,Fin,Ind,,left,forlet,*leh₁d,,,,,,,,,,,,,,
,10,þa,se,DET,DT,11,det,Dat,Sing,,,,,,,the,the,*só,,,,,,,,,,,,,,
,11,heoþe,heóþu,NOUN,NN,9,obj,Dat,Sing,Fem,,,,,,room,heóþu,?,,,,,,,,,,,,,,
,12,.,.,PUNCT,.,4,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,Hit,hit,PRON,PRP,2,expl,Nom,Sing,,,3,,,,It,it,*ḱey,,,,,,,,,,,,,,
,2,ȝebyrede,ȝebyrian,VERB,VBD,0,root,,Sing,,Past,3,Fin,Ind,,happened,ȝebyrian,*bʰer,,,,,,,,,,,,,,
,3,þt,se,SCONJ,IN,5,mark,,,,,,,,,that,that,*só,,,,,,,,,,,,,,
,4,heo,heo,PRON,PRP,5,nsubj,Nom,Sing,Fem,,3,,,,she,she,*ḱís,,,,,,,,,,,,,,
,5,dyde,dōn,VERB,VBD,2,csubj,,Sing,,Past,3,Fin,Ind,,did,do,*dʰeh₁,,,,,,,,,,,,,,
,6,hire,heo,PRON,PRP$,7,nmod:poss,Gen,Sing,Fem,,3,,,,her,she,*ḱís,,,,,,,,,,,,,,
,7,her,her,NOUN,NN,5,obj,Acc,Sing,Neut,,,,,,hair,hair,*kes,,,,,,,,,,,,,,
,8,",",",",PUNCT,",",15,punct,,,,,,,,,",",",",_,,,,,,,,,,,,,,
,9,ac,ac,CCONJ,CC,15,cc,,,,,,,,,but,ac,*gʰe,,,,,,,,,,,,,,
,10,for,for,ADP,IN,12,case,,,,,,,,,for,for,*preh₂,,,,,,,,,,,,,,
,11,sume,sum,DET,DT,12,det,Acc,Sing,Fem,,,,,,some,some,*sem,,,,,,,,,,,,,,
,12,ƿisan,ƿise,NOUN,NN,15,obl,Acc,Sing,Fem,,,,,,reason,ƿise,*weyd,,,,,,,,,,,,,,
,13,nolde,nyllan,AUX,VBD,15,aux,,Sing,,Past,3,Fin,Ind,,would not,not-will,*ne-welh₁,,,,,,,,,,,,,,
,14,seo,se,PRON,PRP,15,nsubj,Nom,Sing,Fem,,,,,,she,she,*só,,,,,,,,,,,,,,
,15,don,dōn,VERB,VB,2,conj,,,,,,Inf,,,to do,do,*dʰeh₁,,,,,,,,,,,,,,
,16,sƿa,sƿa,PRON,PRP,15,obj,,,,,,,,,like so,so,*swō,,,,,,,,,,,,,,
,17,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,Ic,ic,PRON,PRP,4,nsubj,Nom,Sing,,,1,,,,I,I,*éǵh₂,,,,,,,,,,,,,,
,2,ne,ne,ADV,RRB,4,advmod,,,,,,,,,not,not,*ne,,,,,,,,,,,,,,
,3,mihte,magan,AUX,VBD,4,aux,,Sing,,Past,1,,,,can,might,*megʰ,,,,,,,,,,,,,,
,4,þurhƿunian,þurhƿunian,VERB,VB,0,root,,,,,,,,,continue,þurhƿunian,*terh₂-h₁weh₂,,,,,,,,,,,,,,
,5,",",",",PUNCT,",",10,punct,,,,,,,,,",",",",_,,,,,,,,,,,,,,
,6,forðon,forðon,SCONJ,CC,10,mark,,,,,,,,,because,forthat,*preh₂-só,,,,,,,,,,,,,,
,7,he,he,PRON,PRP,10,nsubj,Nom,Sing,Masc,,3,,,,he,he,*ḱís,,,,,,,,,,,,,,
,8,to,to,ADV,RRB,9,advmod,,,,,,,,,too,too,*do,,,,,,,,,,,,,,
,9,sƿiftlice,sƿiftlice,ADV,RRB,10,advmod,,,,,,,,,fast,swiftly,*swey,,,,,,,,,,,,,,
,10,rann,rinnan,VERB,VBD,4,advcl,,Sing,,Past,3,Fin,Ind,,ran,run,*h₃reyH,,,,,,,,,,,,,,
,11,.,.,PUNCT,.,4,punct,,,,,,,,,.,.,_,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,Þis,þis,DET,DT,2,det,Nom,Sing,Neut,,,,,,This,this,*so,,,,,,,,,,,,,,
,2,ærend-ƿrit,ærende-writ,NOUN,NN,5,nsubj,Nom,Sing,Neut,,,,,,letter,errand-writ,*wrey,,,,,,,,,,,,,,
,3,is,ƿesan,AUX,VBZ,5,cop,,Sing,,,,,,,is,be,*h₁ésti,,,,,,,,,,,,,,
,4,fram,fram,ADP,IN,5,case,,,,,,,,,from,from,*prom,,,,,,,,,,,,,,
,5,Petere,Petrus,PROPN,NNP,0,root,Dat,Sing,Masc,,,,,,Petrus,Petrus,pétros,,,,,,,,,,,,,,
,6,and,and,CCONJ,CC,9,cc,,,,,,,,,and,and,*h₂énti,,,,,,,,,,,,,,
,7,hit,hit,PRON,PRP,9,nsubj:pass,Nom,Sing,Neut,,3,,,,it,it,*ḱey,,,,,,,,,,,,,,
,8,ƿæs,ƿesan,AUX,VBD,9,aux:pass,,Sing,,Past,3,Fin,Ind,,was,be,*h₂wes,,,,,,,,,,,,,,
,9,ȝebroht,bringan,VERB,VBN,5,conj,,,,,,Part,,,brought,bring,*bʰrenk,,,,,,,,,,,,,,
,10,ȝierstan-dæg,ȝierstan-dæg,NOUN,NN,9,obl:unmarked,,Sing,Masc,,,,,,yesterday,yesterday,*dʰǵʰyésteros,,,,,,,,,,,,,,
,11,.,.,PUNCT,.,5,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,It,it,*ḱey
20,1,Heo,heo,PRON,PRP,2,nsubj,Nom,Sing,Fem,,3,,,,She,she,*ḱís,,,,,,,,,,,,,,
,2,ƿeox,ƿeaxan,VERB,VBD,0,root,,Sing,,Past,3,,,,grew,wax,*h₂weg,,,,,,,,,,,,,,
,3,on,on,ADP,IN,4,case,,,,,,,,,in,on,*h₂en,,,,,,,,,,,,,,
,4,Paris,Paris,PROPN,NNP,2,obl,,Sing,,,,,,,Paris,Paris,_,xtg,,,,,,,,,,,,,
,5,",",",",PUNCT,",",2,punct,,,,,,,,,",",",",_,,,,,,,,,,,,,,
,6,þære,se,DET,DT,7,det,Gen,Sing,Fem,,,,,,the,the,*so,,,,,,,,,,,,,,
,7,heafod-burh,heafod-burh,NOUN,NN,4,appos,,Sing,Fem,,,,,,capital city,head-burg,*keh₂p-bʰerǵʰ,lat,,,,,,,,,,,,,
,8,Franc-landes,Franc-land,PROPN,NNP,7,nmod:poss,Gen,Sing,Neut,,,,,,of France,Frank-land,*lendʰ,,,,,,,,,,,,,,
,9,.,.,PUNCT,.,2,punct,,,,,,,,,.,.,,,,,,,,,,,,,,,